episode,season,title,file_name,link
E09,S02,Placebo Effect,S02_E09_Placebo_Effect,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5543517
E10,S02,El Secuestro,S02_E10_El_Secuestro,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180204
E11,S02,Jeu Monegasque,S02_E11_Jeu_Monegasque,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5751725
E12,S02,White Nights,S02_E12_White_Nights,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5751737
E13,S02,Double Trouble,S02_E13_Double_Trouble,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5755013
E01,S03,Heart of Archness: Part I,S03_E01_Heart_of_Archness_Part_I,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5436955
E02,S03,Heart of Archness: Part II,S03_E02_Heart_of_Archness_Part_II,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180216
E03,S03,Heart of Archness: Part III,S03_E03_Heart_of_Archness_Part_III,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5543520
E04,S03,The Man from Jupiter,S03_E04_The_Man_from_Jupiter,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/4457378
E05,S03,El Contador,S03_E05_El_Contador,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6191046
E06,S03,The Limited,S03_E06_The_Limited,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/4461911
E07,S03,Drift Problem,S03_E07_Drift_Problem,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5339191
E08,S03,Lo Scandalo,S03_E08_Lo_Scandalo,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/4471827
E09,S03,Bloody Ferlin,S03_E09_Bloody_Ferlin,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6038163
E10,S03,Crossing Over,S03_E10_Crossing_Over,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6038342
E11,S03,Skin Game,S03_E11_Skin_Game,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180235
E12,S03,Space Race: Part I,S03_E12_Space_Race_Part_I,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6038607
E13,S03,Space Race: Part II,S03_E13_Space_Race_Part_II,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6038645
E01,S04,Fugue and Riffs,S04_E01_Fugue_and_Riffs,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6433116
E02,S04,The Wind Cries Mary,S04_E02_The_Wind_Cries_Mary,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/4784903
E03,S04,Legs,S04_E03_Legs,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180249
E04,S04,Midnight Ron,S04_E04_Midnight_Ron,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5740177
E05,S04,Viscous Coupling,S04_E05_Viscous_Coupling,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/4816214
E06,S04,Once Bitten,S04_E06_Once_Bitten,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/5505021
E07,S04,Live and Let Dine,S04_E07_Live_and_Let_Dine,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180258
E08,S04,Coyote Lovely,S04_E08_Coyote_Lovely,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180261
E09,S04,The Honeymooners,S04_E09_The_Honeymooners,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180264
E10,S04,Un Chien Tangerine,S04_E10_Un_Chien_Tangerine,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180267
E11,S04,The Papal Chase,S04_E11_The_Papal_Chase,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180271
E12,S04,Sea Tunt: Part 1,S04_E12_Sea_Tunt_Part_1,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180274
E13,S04,Sea Tunt: Part 2,S04_E13_Sea_Tunt_Part_2,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180278
E01,S05,White Elephant,S05_E01_White_Elephant,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180283
E02,S05,Archer Vice: A Kiss While Dying,S05_E02_Archer_Vice_A_Kiss_While_Dying,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/6041887
E03,S05,Archer Vice: A Debt of Honor,S05_E03_Archer_Vice_A_Debt_of_Honor,https://www.opensubtitles.org/en/download/vrf-108d030f/sub/7180286
